,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
140,Severe Weather - Ice/Snow,2013,12/9/2013,12/9/2013,Dominion Virginia Power,Virginia Service Territory,SERC,293,"88,000","severe weather, winter storm",06:54:00,14:22:00
141,Severe Weather - Ice/Snow,2013,12/6/2013,12/11/2013,Oncor Electric Delivery Company LLC,"Greater Houston, Texas",TRE,Unknown,"881,000","severe weather, winter storm",01:51:00,12:00:00
142,"Physical Attack - Vandalism, Theft",2013,12/6/2013,12/6/2013,PacifiCorp,"Saratoga, Utah",WECC,,,"vandalism, physical",08:47:00,08:49:00
143,Load Shed 100+ MW,2013,12/4/2013,12/4/2013,WECC - Loveland,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",WECC,150,Unknown,load shedding,05:00:00,16:17:00
144,Physical Attack - Vandalism,2013,11/24/2013,11/24/2013,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,,,"vandalism, physical",07:38:00,07:39:00
145,Severe Weather - Wind Storm,2013,11/21/2013,11/22/2013,Pacific Gas & Electric Co,Northern California,WECC,150,"89,500","severe weather, wind",19:45:00,03:20:00
146,Physical Attack - Vandalism,2013,11/20/2013,11/20/2013,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,Unknown,Unknown,"vandalism, physical",03:08:00,03:09:00
147,Severe Weather - Thunderstorms,2013,11/17/2013,11/17/2013,Commonwealth Edison Co,Entire ComEd Territory Illinois,RFC,Unknown,"190,000","severe weather, thunderstorm",14:31:00,22:30:00
148,Severe Weather - Ice and Snow Storm,2013,11/17/2013,11/20/2013,Detroit Edison Co,Michigan,RFC,Unknown,"325,325","severe weather, winter storm",07:00:00,18:54:00
149,Severe Weather - Thunderstorms,2013,11/17/2013,11/18/2013,American Electric Power,"Indiana, Michigan",RFC,Unknown,"77,346","severe weather, thunderstorm",16:19:00,18:00:00
150,Severe Weather - Thunderstorms,2013,11/17/2013,11/20/2013,Duke Energy Midwest,Central Indiana,RFC,Unknown,"61,705","severe weather, thunderstorm",16:47:00,16:47:00
151,Severe Weather - Thunderstorms,2013,11/17/2013,11/21/2013,Consumers Energy Co,Entire Lower Peninsula Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm",16:45:00,16:45:00
