,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
529,Severe Weather,2011,10/29/2011,11/6/2011,Public Service Electric and Gas Company,New Jersey,RFC,125,"197,000",severe weather,14:30:00,12:00:00
530,Severe Weather,2011,10/29/2011,11/2/2011,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NPCC,,"145,000",severe weather,15:00:00,08:15:00
531,Severe Weather,2011,10/29/2011,11/4/2011,New York State Elec & Gas Corp,Southeast New York,NPCC,UNK,"161,151",severe weather,11:18:00,00:00:00
532,Vandalism,2011,10/27/2011,10/27/2011,Midwest ISO,"Munster, Indiana",RFC,,,vandalism,01:00:00,02:36:00
533,Severe Weather,2011,10/26/2011,10/27/2011,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",WECC,UNK,"204,000",severe weather,05:00:00,15:00:00
534,Suspected Physical Attack,2011,10/24/2011,10/26/2011,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical",23:37:00,23:00:00
535,Vandalism,2011,10/20/2011,10/20/2011,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism,07:15:00,07:15:00
536,Suspected Physical Attack,2011,10/18/2011,10/18/2011,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical",03:45:00,05:25:00
537,Vandalism,2011,10/17/2011,10/17/2011,Duke Energy,Southwest Ohio,RFC,7,"2,000",vandalism,15:44:00,15:44:00
538,Vandalism,2011,10/17/2011,10/17/2011,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,vandalism,03:34:00,10:42:00
539,Vandalism,2011,10/14/2011,10/14/2011,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism,14:20:00,14:20:00
540,Suspected Physical Attack,2011,10/7/2011,10/7/2011,City of Tacoma - TPWR,"Olympic Pipeline, Spanaway, Washington",WECC,,,"vandalism, physical",08:04:00,16:00:00
541,Vandalism,2011,10/6/2011,10/6/2011,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,vandalism,11:07:00,11:07:00
542,Suspected Physical Attack,2011,9/30/2011,9/30/2011,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,"vandalism, physical",08:22:00,08:22:00
543,Vandalism,2011,9/29/2011,9/30/2011,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,vandalism,18:44:00,16:00:00
544,Severe Weather,2011,9/29/2011,9/30/2011,CenterPoint Energy,"Houston metro area, Texas",TRE,,65000,severe weather,05:00:00,06:00:00
545,Suspected Physical Attack,2011,9/28/2011,9/28/2011,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,"vandalism, physical",16:41:00,16:41:00
546,Vandalism,2011,9/28/2011,9/28/2011,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,vandalism,14:59:00,14:59:00
547,Vandalism,2011,9/28/2011,9/28/2011,ISO New England/Convex,"Watertown, Connecticut",NPCC,,,vandalism,09:30:00,13:00:00
548,Vandalism,2011,9/26/2011,9/26/2011,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,vandalism,10:15:00,10:15:00
549,Vandalism,2011,9/24/2011,9/25/2011,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,vandalism,16:17:00,16:00:00
550,Vandalism,2011,9/23/2011,9/23/2011,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,vandalism,09:04:00,09:04:00
551,Vandalism,2011,9/22/2011,9/22/2011,Dayton Power & Light,"Montgomery County, Ohio",RFC,,0,vandalism,14:50:00,14:51:00
552,Generation Inadequacy; Load Shed,2011,9/21/2011,9/21/2011,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"319,616",load shedding,14:37:00,15:47:00
553,Suspected Physical Attack,2011,9/21/2011,9/21/2011,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,"vandalism, physical",10:30:00,10:30:00
554,Vandalism,2011,9/20/2011,9/20/2011,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,,,vandalism,12:55:00,17:00:00
555,Vandalism,2011,9/14/2011,9/14/2011,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,vandalism,09:00:00,14:00:00
556,Vandalism,2011,9/13/2011,9/13/2011,New York Power Authority,"Saranac, New York",NPCC,,0,vandalism,14:03:00,18:21:00
557,Vandalism,2011,9/13/2011,9/14/2011,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,,,vandalism,11:43:00,16:00:00
558,Vandalism,2011,9/12/2011,9/12/2011,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism,09:15:00,15:30:00
559,Vandalism,2011,9/8/2011,9/9/2011,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,vandalism,19:53:00,16:00:00
560,Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,9/8/2011,9/10/2011,WECC Reliability Coordinator,Arizona; California,WECC,"7,000","2,000,000","transmission interruption, distribution interruption",15:28:00,15:30:00
561,Actual Physical Attack,2011,9/7/2011,9/7/2011,ISO New England,Western Connecticut; New York,NPCC,0,0,"vandalism, physical",00:08:00,10:50:00
562,Severe Weather,2011,9/5/2011,9/7/2011,Southern Company,Alabama; Georgia,SERC,177,"53,295",severe weather,16:30:00,15:45:00
563,Severe Weather,2011,9/3/2011,9/8/2011,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,UNK,"105,000",severe weather,14:00:00,18:00:00
564,Vandalism,2011,9/1/2011,9/1/2011,City of Tacoma (TPWR),"Graham Substaion, Washington",WECC,,,vandalism,08:13:00,16:00:00
565,Suspected Physical Attack,2011,8/31/2011,8/31/2011,Duke Energy,Southwest Ohio,RFC,0,0,"vandalism, physical",12:52:00,12:52:00
566,Suspected Physical Attack,2011,8/28/2011,8/28/2011,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical",20:55:00,23:39:00
567,Severe Weather,2011,8/28/2011,8/28/2011,"Orange and Rockland Utilities, Inc.",New York,NPCC,,"116,000",severe weather,12:30:00,12:31:00
568,Severe Weather,2011,8/28/2011,8/28/2011,ISO New England,Eastern Massachusetts,NPCC,,"50,000",severe weather,12:10:00,12:11:00
569,Severe Weather,2011,8/28/2011,8/29/2011,The United illuminating Company,Southwest Connecticut,NPCC,,"158,000",severe weather,07:40:00,07:40:00
570,Severe Weather,2011,8/28/2011,9/3/2011,"Consolidated Edison Company of NY, Inc.",Borough's and Westshester County New York,NPCC,,50000,severe weather,05:01:00,05:01:00
571,Severe Weather,2011,8/28/2011,8/30/2011,Long Island Power Authority,"Long Island, New York",NPCC,UNK,"152,261",severe weather,05:00:00,05:00:00
572,Severe Weather,2011,8/28/2011,8/30/2011,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,"284,000",severe weather,02:58:00,02:58:00
573,Severe Weather,2011,8/28/2011,8/30/2011,FirstEnergy Corp: Jersey Central Power & Light,Northern and Central New Jersey,RFC,,"650,000",severe weather,00:30:00,00:30:00
574,Severe Weather,2011,8/28/2011,8/30/2011,Public Service Electric and Gas Company,New Jersey,RFC,500,"665,000",severe weather,00:23:00,00:23:00
575,Severe Weather,2011,8/28/2011,9/3/2011,New York State Electric & Gas Corporation,New York,NPCC,UNK,"99,700",severe weather,07:00:00,00:01:00
576,Severe Weather,2011,8/28/2011,8/30/2011,Niagara Mohawk Power Corporation,Eastern New York,NPCC,,"100,000",severe weather,09:42:00,00:01:00
577,Severe Weather,2011,8/28/2011,8/30/2011,Central Hudson Gas & Electric,"Mid-Hudson, New York",NPCC,,"180,000",severe weather,00:01:00,00:01:00
578,Severe Weather,2011,8/27/2011,9/4/2011,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113",severe weather,20:30:00,23:30:00
579,Severe Weather,2011,8/27/2011,8/29/2011,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,"285,465",severe weather,02:57:00,23:30:00
580,Severe Weather,2011,8/27/2011,8/29/2011,Exelon Corporation / PECO,Pennsylvania,RFC,,"264,000",severe weather,22:00:00,22:00:00
581,Severe Weather,2011,8/27/2011,8/29/2011,Atlantic City Electric Company,Southern New Jersey,RFC,320,"140,000",severe weather,22:00:00,16:00:00
582,Severe Weather,2011,8/27/2011,8/29/2011,Pepco,District of Columbia; Maryland,RFC,,"220,000",severe weather,23:05:00,15:30:00
583,Severe Weather,2011,8/27/2011,8/29/2011,Dominion Virginia Power,North Carolina; Virginia,SERC,UNK,"1,000,000",severe weather,10:33:00,14:00:00
584,Severe Weather,2011,8/27/2011,8/29/2011,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,"136,000",severe weather,19:00:00,13:31:00
585,Severe Weather,2011,8/27/2011,8/29/2011,Delmarva Power & Light Company,Delaware; Maryland,RFC,,"165,000",severe weather,13:00:00,13:00:00
586,Severe Weather,2011,8/27/2011,8/29/2011,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,"108,000",severe weather,23:00:00,08:00:00
587,Distribution System Interruption,2011,8/27/2011,8/27/2011,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,"1,200",distribution interruption,02:00:00,05:15:00
588,Severe Weather,2011,8/26/2011,8/28/2011,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,,"200,717",severe weather,00:30:00,00:30:00
589,Severe Weather,2011,8/25/2011,8/28/2011,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",RFC,,"107,833",severe weather,00:30:00,20:00:00
590,Suspected Physical Attack,2011,8/25/2011,8/25/2011,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical",00:01:00,00:01:00
591,Severe Weather,2011,8/24/2011,8/24/2011,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,,"53,064",severe weather,14:51:00,22:00:00
592,Public Appeal to Reduce Electricity Usage,2011,8/24/2011,8/29/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,13:20:00,19:00:00
593,Severe Weather,2011,8/24/2011,8/25/2011,CenterPoint Energy,"Houston area, Texas",TRE,485,"79,000",severe weather,07:45:00,06:00:00
594,Public Appeal to Reduce Electricity Usage,2011,8/23/2011,8/23/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,15:43:00,19:00:00
595,Public Appeal to Reduce Electricity Usage,2011,8/23/2011,8/23/2011,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,public appeal,10:30:00,16:54:00
596,Earthquake,2011,8/23/2011,8/23/2011,Dominion Virginia Power,Virginia,RFC,0,0,earthquake,13:51:00,13:51:00
597,Suspected Physical Attack,2011,8/22/2011,8/22/2011,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,"vandalism, physical",10:05:00,16:00:00
598,Severe Weather,2011,8/21/2011,8/23/2011,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"2,200","931,000",severe weather,22:45:00,22:45:00
599,Severe Weather,2011,8/20/2011,8/23/2011,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,"65,000",severe weather,17:42:00,20:00:00
600,Suspected Physical Attack,2011,8/18/2011,8/18/2011,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,"vandalism, physical",09:51:00,16:00:00
601,Vandalism,2011,8/15/2011,8/15/2011,PacifiCorp,Utah,WECC,0,0,vandalism,02:05:00,03:40:00
602,Severe Weather,2011,8/13/2011,8/14/2011,LG&E and KU Energy LLC,Kentucky,SERC,UNK,"181,700",severe weather,16:41:00,19:00:00
603,Vandalism,2011,8/9/2011,8/9/2011,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WECC,,,vandalism,10:26:00,17:00:00
604,Severe Weather,2011,8/8/2011,8/10/2011,Oklahoma Gas & Electric,Northern and Central Oklahoma,SPP,,"54,000",severe weather,20:58:00,16:30:00
605,Vandalism,2011,8/8/2011,8/8/2011,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,vandalism,09:35:00,16:00:00
606,Electrical System Separation (Islanding),2011,8/8/2011,8/9/2011,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500",islanding,19:36:00,12:00:00
607,Suspected Physical Attack,2011,8/8/2011,8/8/2011,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,"vandalism, physical",09:30:00,09:30:00
608,Public Appeal to Reduce Electricity Usage,2011,8/4/2011,8/4/2011,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",SPP,,,public appeal,10:30:00,16:00:00
609,Public Appeal to Reduce Electricity Usage,2011,8/3/2011,8/3/2011,Grand River Dam Authority,Northeast Oklahoma,SPP,300,,public appeal,16:29:00,23:40:00
610,Public Appeal to Reduce Electricity Usage,2011,8/3/2011,8/3/2011,Entergy,Central Arkansas,SPP,0,0,public appeal,16:30:00,21:00:00
611,Fuel Supply Deficiency (Coal),2011,8/3/2011,8/19/2011,AES Somerset LLC,Western New York,NPCC,675,UNK,"fuel supply emergency, coal",10:00:00,10:00:00
612,Severe Weather,2011,8/2/2011,8/3/2011,Exelon Corporation/ComEd,"Northeast, Illinois",RFC,UNK,"71,500",severe weather,21:30:00,19:00:00
613,Public Appeal to Reduce Electricity Usage,2011,8/2/2011,8/3/2011,Oklahoma Gas & Electric,Oklahoma,SPP,,,public appeal,10:15:00,09:16:00
614,Public Appeal to Reduce Electricity Usage,2011,8/1/2011,8/5/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,15:00:00,19:00:00
615,Vandalism,2011,8/1/2011,8/1/2011,PacificCorp,"Jefferson, Oregon",WECC,,,vandalism,14:18:00,14:18:00
616,Vandalism,2011,7/29/2011,7/29/2011,City of Tacoma (TPWR),"Fredrickson, Washington",WECC,,,vandalism,11:46:00,17:00:00
617,Severe Weather,2011,7/29/2011,8/1/2011,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,RFC,,"67,900",severe weather,20:45:00,04:24:00
618,Vandalism,2011,7/28/2011,7/28/2011,City of Tacoma (TPWR),"Spanaway, Washington",WECC,,,vandalism,19:25:00,19:25:00
619,Vandalism,2011,7/28/2011,7/28/2011,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,vandalism,13:32:00,13:32:00
620,Severe Weather,2011,7/28/2011,7/29/2011,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",RFC,UNK,"201,000",severe weather,00:14:00,12:00:00
621,Fuel Supply Deficiency (Coal),2011,7/28/2011,7/29/2011,Owensboro Municipal Utilities,"Daviess County, Kentucky",SERC,,,"fuel supply emergency, coal",07:26:00,07:26:00
622,Vandalism,2011,7/27/2011,7/27/2011,Tacoma Power (TPWR),"Fife, Washington",WECC,,,vandalism,12:07:00,12:08:00
623,Vandalism,2011,7/26/2011,7/26/2011,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,vandalism,12:01:00,12:01:00
624,Vandalism,2011,7/24/2011,7/24/2011,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,vandalism,14:34:00,15:47:00
625,Severe Weather,2011,7/23/2011,7/24/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000",severe weather,02:30:00,09:00:00
626,Public Appeal to Reduce Electricity Usage,2011,7/22/2011,7/22/2011,Niagara Mohawk Power Corporation (dba National Grid),"Upstate, New York",NPCC,,,public appeal,11:00:00,18:00:00
627,Load Shed,2011,7/22/2011,7/22/2011,PJM Interconnection,Ohio,RFC,206,"23,000",load shedding,11:34:00,17:26:00
628,Public Appeal to Reduce Electricity Usage,2011,7/21/2011,7/21/2011,City Water Light and Power,"Springfield, Illinois",SERC,,,public appeal,13:00:00,15:00:00
629,Public Appeal to Reduce Electricity Usage,2011,7/21/2011,7/22/2011,Consumers Energy,"Lower Peninsula, Michigan",RFC,"8,881",,public appeal,12:32:00,06:30:00
630,Vandalism,2011,7/20/2011,7/20/2011,Tacoma Power (TPWR),"Frederickson Substation, Washington",WECC,,,vandalism,09:10:00,16:30:00
631,Vandalism,2011,7/19/2011,7/19/2011,Central Maine Power Company,Maine,NPCC,,,vandalism,11:45:00,15:00:00
632,Severe Weather,2011,7/18/2011,7/24/2011,"Detroit Edison, Subsidiary of DTE Energy",Southeast Michigan,RFC,,"197,166",severe weather,17:00:00,13:30:00
633,Public Appeal to Reduce Electricity Usage,2011,7/14/2011,7/14/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,11:00:00,19:00:00
634,Load Shed,2011,7/13/2011,7/13/2011,Public Service Company of Colorado,"Pueblo, Colorado",WECC,580,,load shedding,17:19:00,22:03:00
635,Suspected Physical Attack,2011,7/12/2011,7/12/2011,Gen On,California,WECC,UNK,UNK,"vandalism, physical",20:20:00,21:30:00
636,Vandalism,2011,7/12/2011,7/12/2011,Central Maine Power Company,Maine,NPCC,,0,vandalism,12:00:00,12:00:00
637,Severe Weather,2011,7/11/2011,7/12/2011,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,UNK,"120,000",severe weather,14:27:00,15:50:00
638,Vandalism,2011,7/11/2011,7/11/2011,Central Maine Power Company,Maine,NPCC,,0,vandalism,13:30:00,13:30:00
639,Vandalism,2011,7/11/2011,7/11/2011,Duke Energy,Southwest Ohio,RFC,0,0,vandalism,13:13:00,13:13:00
640,Severe Weather,2011,7/11/2011,7/11/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000",severe weather,09:00:00,10:25:00
641,Severe Weather,2011,7/11/2011,7/11/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"500,000",severe weather,09:00:00,09:00:00
642,Severe Weather,2011,7/11/2011,7/12/2011,Consumers Energy,Western and Southern Lower Peninsula Michigan,RFC,UNK,"85,000",severe weather,11:15:00,08:15:00
643,Vandalism,2011,7/8/2011,7/8/2011,Minnesota Power,"Saginaw, Minnesota",MRO,0,0,vandalism,10:00:00,10:00:00
644,Suspected Cyber Attack,2011,7/8/2011,7/11/2011,PJM Interconnection,"PJM Corporate Office, Pennsylvania",RFC,UNK,UNK,"vandalism, cyber",10:00:00,09:00:00
645,Vandalism,2011,7/6/2011,7/6/2011,ISO New England,Vermont,NPCC,,,vandalism,09:51:00,09:52:00
646,Vandalism,2011,7/5/2011,7/5/2011,PacifiCorp,West Valley Substation Utah,WECC,0,0,vandalism,10:40:00,11:37:00
647,Severe Weather,2011,7/4/2011,7/4/2011,Dominion Virginia Power,Virginia,SERC,150,"51,580",severe weather,18:00:00,21:00:00
648,Severe Weather,2011,7/2/2011,7/6/2011,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",RFC,UNK,"182,000",severe weather,20:15:00,22:00:00
649,Vandalism,2011,7/1/2011,7/1/2011,Dayton Power & Light,Greene County Ohio,RFC,,0,vandalism,16:38:00,22:38:00
650,Severe Weather,2011,7/1/2011,7/3/2011,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,UNK,"70,000",severe weather,17:00:00,20:00:00
651,Vandalism,2011,7/1/2011,7/1/2011,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,vandalism,08:00:00,08:01:00
652,Major System Interruption/Load Shed,2011,6/30/2011,6/30/2011,Salt River Project,"Phoenix, Arizona",WECC,"5,299","160,000",load shedding,14:11:00,23:25:00
653,Vandalism,2011,6/30/2011,6/30/2011,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0,vandalism,22:31:00,22:31:00
654,Severe Weather,2011,6/30/2011,7/1/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"121,000",severe weather,22:30:00,17:00:00
655,Public Appeal to Reduce Electricity Usage,2011,6/29/2011,6/29/2011,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0,public appeal,11:30:00,18:04:00
656,Public Appeal to Reduce Electricity Usage,2011,6/27/2011,6/27/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,15:00:00,19:00:00
657,Vandalism,2011,6/27/2011,6/27/2011,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,UNK,UNK,vandalism,18:55:00,18:55:00
658,Severe Thunderstorms,2011,6/27/2011,6/29/2011,AMEREN,Illinois; Missouri,SERC,UNK,"80,000","severe weather, thunderstorm",00:00:00,01:00:00
659,Severe Thunderstorms,2011,6/26/2011,6/27/2011,Southern Company,Alabama; Georgia,SERC,300,"90,160","severe weather, thunderstorm",18:00:00,13:00:00
660,Public Appeal to Reduce Electricity Usage,2011,6/26/2011,6/27/2011,Sunflower Electric Power Corporation,Southwest Kansas,SPP,UNK,UNK,public appeal,16:46:00,07:59:00
661,Severe Thunderstorms,2011,6/24/2011,6/25/2011,Southern Company,North/North Central Alabama; Georgia,SERC,340,"102,275","severe weather, thunderstorm",18:30:00,01:30:00
662,Vandalism,2011,6/23/2011,6/23/2011,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0,vandalism,08:10:00,09:00:00
663,Vandalism,2011,6/22/2011,6/22/2011,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0,vandalism,20:12:00,20:12:00
664,Severe Weather,2011,6/22/2011,6/22/2011,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,UNK,"106,300",severe weather,09:46:00,09:46:00
665,Severe Thunderstorms,2011,6/22/2011,6/23/2011,Southern Company,Alabama; Georgia,SERC,316,"75,101","severe weather, thunderstorm",19:00:00,01:00:00
